Year,Public,Private
2019,9349,32769
2018,9212,31883
2017,9036,30723
2016,8804,29476
2015,8778,27942
2014,8543,26739
2013,8312,25707
2012,8070,24523
2011,7713,23464
2010,7132,22677
2009,6717,22269
2008,6312,22040
2007,5943,21427
2006,5666,20517
2005,5351,19292
2004,5027,18604
2003,4587,17763
2002,4046,16826
2001,3735,16211
2000,3501,15470
1999,3349,14616
1998,3229,13973
1997,3110,13344
1996,2987,12881
1995,2848,12243
1994,2681,11481
1993,2537,10952
1992,2349,10294
1991,2117,9759
1990,1888,9083
1989,1780,8396
1988,1646,7722
1987,1537,7116
1986,1414,6658
1985,1318,6121
1984,1228,5556
1983,1148,5093
1982,1031,4639
1981,909,4113
1980,804,3617
1979,738,3225
1978,688,2958
1977,655,2700
1976,617,2534
1975,542,2291
1974,512,2130
1973,514,2045
1972,503,1948
1971,428,1832
1970,394,1706
1969,358,1562
1968,321,1417
