Year,Income
2020,67521
2019,68703
2018,63179
2017,61136
2016,59039
2015,56516
2014,53657
2013,51939
2012,51017
2011,50054
2010,49276
2009,49777
2008,50303
2007,50233
2006,48201
2005,46326
2004,44334
2003,43318
2002,42409
2001,42228
2000,41990
1999,40696
1998,38885
1997,37005
1996,35492
1995,34076
1994,32264
1993,31241
1992,30636
1991,30126
1990,29943
1989,28906
1988,27225
1987,26061
1986,24897
1985,23618
1984,22415
1983,20885
1982,20171
1981,19074
1980,17710
1979,16461
1978,15064
1977,13572
1976,12686
1975,11800
